region_type,country,percent_yoy_change,date
countries,United States,-9,2020-03-03
countries,United States,-5,2020-03-04
countries,United States,-5,2020-03-05
countries,United States,-6,2020-03-06
countries,United States,-3,2020-03-07
countries,United States,-2,2020-03-08
countries,United States,-14,2020-03-09
countries,United States,-18,2020-03-10
countries,United States,-19,2020-03-11
countries,United States,-28,2020-03-12
countries,United States,-36,2020-03-13
countries,United States,-42,2020-03-14
countries,United States,-48,2020-03-15
countries,United States,-56,2020-03-16
countries,United States,-84,2020-03-17
countries,United States,-91,2020-03-18
countries,United States,-98,2020-03-19
countries,United States,-99,2020-03-20
countries,United States,-100,2020-03-21
countries,United States,-100,2020-03-22
countries,United States,-100,2020-03-23
countries,United States,-100,2020-03-24
countries,United States,-100,2020-03-25
countries,United States,-100,2020-03-26
countries,United States,-100,2020-03-27
countries,United States,-100,2020-03-28
countries,United States,-100,2020-03-29
countries,United States,-100,2020-03-30
